src_ip,dst_ip,protocol,timestamp,length,src_port,dst_port,protocol_type
52.182.143.208,192.168.0.123,6,1722603830.825889,66,443.0,53133.0,TCP
192.168.0.123,35.186.224.40,6,1722603831.041389,82,52427.0,443.0,TCP
35.186.224.40,192.168.0.123,6,1722603831.180497,54,443.0,52427.0,TCP
35.186.224.40,192.168.0.123,6,1722603831.219985,78,443.0,52427.0,TCP
192.168.0.123,35.186.224.40,6,1722603831.265190,54,52427.0,443.0,TCP
192.168.0.123,23.211.137.129,6,1722603831.673411,54,53127.0,443.0,TCP
192.168.1.1,239.255.255.250,17,1722603832.541649,307,1900.0,1900.0,UDP
192.168.1.1,239.255.255.250,17,1722603832.541649,316,1900.0,1900.0,UDP
192.168.1.1,239.255.255.250,17,1722603832.541649,379,1900.0,1900.0,UDP
192.168.1.1,239.255.255.250,17,1722603832.541649,316,1900.0,1900.0,UDP
192.168.1.1,239.255.255.250,17,1722603832.541649,355,1900.0,1900.0,UDP
192.168.1.1,239.255.255.250,17,1722603832.541858,387,1900.0,1900.0,UDP
192.168.1.1,239.255.255.250,17,1722603832.541858,316,1900.0,1900.0,UDP
192.168.1.1,239.255.255.250,17,1722603832.544834,375,1900.0,1900.0,UDP
192.168.1.1,239.255.255.250,17,1722603832.544950,369,1900.0,1900.0,UDP
192.168.0.123,224.0.0.251,17,1722603840.677201,69,5353.0,5353.0,UDP
192.168.0.123,224.0.0.252,17,1722603840.677816,63,51544.0,5355.0,UDP
192.168.0.123,224.0.0.251,17,1722603840.678195,69,5353.0,5353.0,UDP
192.168.0.123,224.0.0.252,17,1722603841.099863,63,51544.0,5355.0,UDP
192.168.0.123,192.168.0.255,17,1722603841.100162,92,137.0,137.0,UDP
192.168.0.123,23.211.137.129,6,1722603841.286153,54,53127.0,443.0,TCP
192.168.0.123,224.0.0.251,17,1722603841.679021,69,5353.0,5353.0,UDP
192.168.0.123,224.0.0.251,17,1722603841.693921,69,5353.0,5353.0,UDP
192.168.0.123,192.168.0.255,17,1722603841.850775,92,137.0,137.0,UDP
192.168.0.123,192.168.0.255,17,1722603842.603575,92,137.0,137.0,UDP
192.168.0.123,35.186.224.40,6,1722603842.838589,97,52635.0,443.0,TCP
35.186.224.40,192.168.0.123,6,1722603842.883348,54,443.0,52635.0,TCP
35.186.224.40,192.168.0.123,6,1722603843.107044,94,443.0,52635.0,TCP
192.168.0.123,35.186.224.40,6,1722603843.152024,54,52635.0,443.0,TCP
192.168.0.123,23.211.137.72,6,1722603844.032292,54,53136.0,443.0,TCP
23.211.137.72,192.168.0.123,6,1722603844.063994,85,443.0,53136.0,TCP
23.211.137.72,192.168.0.123,6,1722603844.063994,54,443.0,53136.0,TCP
192.168.0.123,23.211.137.72,6,1722603844.064036,54,53136.0,443.0,TCP
192.168.0.123,20.50.88.234,6,1722603844.944332,686,53139.0,443.0,TCP
20.50.88.234,192.168.0.123,6,1722603845.167045,54,443.0,53139.0,TCP
20.50.88.234,192.168.0.123,6,1722603845.244711,384,443.0,53139.0,TCP
20.50.88.234,192.168.0.123,6,1722603845.244757,81,443.0,53139.0,TCP
192.168.0.123,20.50.88.234,6,1722603845.244768,54,53139.0,443.0,TCP
192.168.0.123,224.0.0.251,17,1722603846.311078,87,5353.0,5353.0,UDP
192.168.0.123,239.255.255.250,17,1722603846.778085,167,63853.0,1900.0,UDP
192.168.0.123,35.186.224.22,6,1722603847.518839,55,53094.0,443.0,TCP
35.186.224.22,192.168.0.123,6,1722603847.564106,66,443.0,53094.0,TCP
52.182.143.208,192.168.0.123,6,1722603847.714010,54,443.0,53134.0,TCP
192.168.0.1,239.255.255.250,17,1722603849.328414,422,48219.0,1900.0,UDP
192.168.0.1,239.255.255.250,17,1722603849.328414,494,48219.0,1900.0,UDP
192.168.0.1,239.255.255.250,17,1722603849.329124,490,48219.0,1900.0,UDP
192.168.0.1,239.255.255.250,17,1722603849.338562,470,48219.0,1900.0,UDP
192.168.0.1,239.255.255.250,17,1722603849.338749,502,48219.0,1900.0,UDP
192.168.0.1,239.255.255.250,17,1722603849.338749,484,48219.0,1900.0,UDP
192.168.0.1,239.255.255.250,17,1722603849.338848,486,48219.0,1900.0,UDP
192.168.0.1,239.255.255.250,17,1722603849.338848,486,48219.0,1900.0,UDP
192.168.0.123,104.199.240.237,6,1722603849.611400,65,52429.0,4070.0,TCP
104.199.240.237,192.168.0.123,6,1722603849.772106,65,4070.0,52429.0,TCP
192.168.0.123,104.199.240.237,6,1722603849.818151,54,52429.0,4070.0,TCP
192.168.0.123,185.199.111.133,6,1722603851.685657,55,53104.0,443.0,TCP
185.199.111.133,192.168.0.123,6,1722603851.729587,66,443.0,53104.0,TCP
192.168.0.123,35.186.224.24,17,1722603852.194457,1292,54987.0,443.0,UDP
192.168.0.123,35.186.224.24,17,1722603852.194505,1292,54987.0,443.0,UDP
192.168.0.123,35.186.224.24,6,1722603852.194645,137,52625.0,443.0,TCP
192.168.0.123,35.186.224.24,6,1722603852.194673,93,52625.0,443.0,TCP
192.168.0.123,35.186.224.24,6,1722603852.194689,704,52625.0,443.0,TCP
35.186.224.24,192.168.0.123,17,1722603852.246025,1292,443.0,54987.0,UDP
35.186.224.24,192.168.0.123,6,1722603852.246025,54,443.0,52625.0,TCP
35.186.224.24,192.168.0.123,6,1722603852.246025,93,443.0,52625.0,TCP
192.168.0.123,35.186.224.24,6,1722603852.293083,54,52625.0,443.0,TCP
35.186.224.24,192.168.0.123,17,1722603852.319693,1292,443.0,54987.0,UDP
192.168.0.123,35.186.224.24,17,1722603852.320503,210,54987.0,443.0,UDP
35.186.224.24,192.168.0.123,17,1722603852.361317,163,443.0,54987.0,UDP
192.168.0.123,35.186.224.24,17,1722603852.361594,75,54987.0,443.0,UDP
35.186.224.24,192.168.0.123,17,1722603852.361926,626,443.0,54987.0,UDP
192.168.0.123,35.186.224.24,17,1722603852.362100,74,54987.0,443.0,UDP
35.186.224.24,192.168.0.123,17,1722603852.385686,66,443.0,54987.0,UDP
35.186.224.24,192.168.0.123,6,1722603852.409574,137,443.0,52625.0,TCP
192.168.0.123,35.186.224.24,6,1722603852.410281,93,52625.0,443.0,TCP
35.186.224.24,192.168.0.123,6,1722603852.455735,54,443.0,52625.0,TCP
